title,link,price,Img,Description,Bottle Size,Alcohol/Vol:,Made In:,By:,Sugar Content:,Sweetness Descriptor:,Style:,Varietal:,Release Date:,This is a VQA wine,This is a Kosher product.
Fazi Battaglia Verdicchio Dei Castelli Di Jesi DOC,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/fazi-battaglia-verdicchio-dei-castelli-di-jesi-doc-166348,$16.25,/content/dam/lcbo/products/166348.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"A winery with a long history of making quality wine; now run by the 4th generation. Pale straw yellow colour. Aromas of fresh bread, mineral notes, spice, nuts and mushrooms. The palate is fresh, clean, slightly spritzy, with balanced acidity and flavours of lees, spices, nuts and mineral notes.",1500 mL bottle,12.5%,"Marche, Italy",Casa Vinicola Fazi-Battaglia Titulu,6 g/L,D - Dry,Light & Crisp,Blend,,,
Fuzion Alta Torrontes Pinot Grigio,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/fuzion-alta-torrontes-pinot-grigio-168419,$12.00,/content/dam/lcbo/products/168419.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale straw colour; very floral - orange blossom, plus soft pear and melon aromas with savory and honey notes; extra dry with light to medium body; balanced citrus and pear flavours.",750 mL bottle,13.5%,Argentina,Fuzion Wines,2 g/L,XD - Extra Dry,Light & Crisp,Blend,,,
Boutari Moschofilero White,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/boutari-moschofilero-white-172387,$14.75,/content/dam/lcbo/products/172387.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale lemon; delicate floral, citrus, herbal and mineral aromas; extra dry and creamy on the palate, with flavours of ripe citrus, herbs and green apple; the finish is clean and lingering.",750 mL bottle,11.5%,Greece,Jean Boutari & Fils S.A.,6 g/L,XD - Extra Dry,Light & Crisp,Moschofilero,,,
Funf 5 Riesling Rhein,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/funf-5-riesling-rhein-175026,$11.10,/content/dam/lcbo/products/175026.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Bright straw colour; smoky, floral and mineral aromas; medium sweet; spicy and mineral flavours with clean finish.",750 mL bottle,9%,Germany,H. Schmitt Soehne,35 g/L,M - Medium,Off-dry & Fruity,Riesling,,,
Wente Morning Fog Chardonnay,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/wente-morning-fog-chardonnay-175430,$19.95,/content/dam/lcbo/products/175430.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale straw colour; pear, floral and vanilla aromas and a touch of canteloup; pear and tropical fruit and soft vanilla oak flavour.",750 mL bottle,13.5%,USA,Wente Vineyards,6 g/L,D - Dry,Aromatic & Flavourful,Chardonnay,,,
Sandbanks Shoreline Chardonnay Pinot Grigio VQA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/white-wine-14002/sandbanks-shoreline-chardonnay-pinot-grigio-vqa-177477,$13.95$14.95Save $1.00,/content/dam/lcbo/products/177477.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Sandbanks have been one of the leading wineries in Prince Edward County since 2003. A blend of unoaked chardonnay and pinot grigio that offers floral, pear, fig, melon and mango notes. Medium-bodied and extra dry with a finish that is delicate yet flavourful. Serve with seafood salad, Cajun cuisine or use in a Sangria.",750 mL bottle,12%,"Ontario, Canada","Arterra Wines Canada, Inc.",7 g/L,XD - Extra Dry,Light & Crisp,Blend,,,
Open Sauvignon Blanc VQA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/open-sauvignon-blanc-vqa-178681,$12.95,/content/dam/lcbo/products/178681.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Clear pale straw colour; good intensity of citrus, gooseberry and floral aromas, with yellow plum and herbal touches; extra dry, medium body; citrus and gooseberry flavours with a herbal twist, medium finish.",750 mL bottle,11.9%,"Ontario, Canada","Arterra Wines Canada, Inc.",8 g/L,D - Dry,Aromatic & Flavourful,Sauvignon Blanc,,,
Lindemans Bin 95 Sauvignon Blanc,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/lindemans-bin-95-sauvignon-blanc-181388,$10.70,/content/dam/lcbo/products/181388.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale straw colour; upfront aromas of grapefruit and passion fruit, with nutty and minty elements; flavour follows nose, round acidity balances nicely the wine's fresh fruit character.",750 mL bottle,12%,Australia,Lindeman's Wines,4 g/L,XD - Extra Dry,Light & Crisp,Sauvignon Blanc,,,
Megalomaniac Homegrown Riesling VQA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/megalomaniac-homegrown-riesling-vqa-183061,$14.95,/content/dam/lcbo/products/183061.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Clear, pale straw colour; fresh pastry, mushrooms, spice and quince aromas with a floral touch; off-dry, medium body; savory, spice, quince and a hint of honey in flavour with soft balanced acidity for a clean finish.",750 mL bottle,10.5%,"Ontario, Canada",John Howard Cellars Of Distinction,28 g/L,M - Medium,Aromatic & Flavourful,Riesling,,,
Silver Point Sauvignon Blanc,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/white-wine-14002/silver-point-sauvignon-blanc-187013,$14.70,/content/dam/lcbo/products/187013.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale straw colour; citrus, nutty, yeasty, spicy and minerally aromas; medium body; nice core of rich fruit flavours with good acidity, yet still elegant; long strong finish.",750 mL bottle,12.5%,New Zealand,Cooper's Creek Vineyard Ltd.,6 g/L,XD - Extra Dry,Aromatic & Flavourful,Sauvignon Blanc,,,
Peller Family Vineyards Chardonnay,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/peller-family-vineyards-chardonnay-197962,$3.75,/content/dam/lcbo/products/197962.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Chardonnay is the world's most popular white wine, known for its flavours of ripe pear, hazelnuts and vanilla. Smooth and light to medium-bodied, this wine has a hint of spicy oak, and a mellow, balanced finish. Serve with roast chicken, grilled vegetables or salads.",200 mL bottle,12%,"Ontario, Canada",Andrew Peller Limited,7 g/L,D - Dry,Light & Crisp,Chardonnay,,,
Tawse Quarry Road Organic Riesling,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/tawse-quarry-road-organic-riesling-198853,$24.95,/content/dam/lcbo/products/198853.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Floral with lime, lemon, nectarine and mineral notes. Complex and pure with excellent weight and texture. A precise and exquisite Ontario Riesling. Great with spicy Asian foods.",750 mL bottle,10.5%,"Ontario, Canada",Tawse Winery,24 g/L,M - Medium,Aromatic & Flavourful,Riesling,"April 1, 2021",,
Konzelmann Chardonnay Unoaked VQA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/konzelmann-chardonnay-unoaked-vqa-200535,$14.95,/content/dam/lcbo/products/200535.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Bright yellow-gold; citrus fruit with light tropical fruit & vanilla notes; dry with a zesty, citrus finish.Bright yellow-gold colour; green plums, herbal, yeast and citrus fruit with nutty notes; medium-bodied with a refreshing, citrus finish.",750 mL bottle,13%,"Ontario, Canada",Konzelmann Vineyards Inc.,7 g/L,D - Dry,Light & Crisp,Chardonnay,,,
