title,link,price,Img,Description,Bottle Size,Alcohol/Vol:,Made In:,By:,Sugar Content:,Sweetness Descriptor:,Style:,Varietal:,Release Date:,This is a VQA wine,This is a Kosher product.
Ashkar Sauvignon Blanc 2019,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/ashkar-sauvignon-blanc-2019-757657,$41.70,/content/dam/lcbo/products/757657.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"This elegant and fresh wine is characterized with the flavours of citrus fruit, grassy notes, minerals and hints of sweet sourness on the palate.",750 mL bottle,13%,Israel,Ashkar Winery,,,,Sauvignon Blanc,,,
Thema White 2019,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/thema-white-2019-735349,$19.60,/content/dam/lcbo/products/735349.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"It has a light yellow-green colour. Complex nose beginning with intense aromas of exotic fruits and citron, continuing with compounding hints of white pepper and minerality. Well balanced and richly flavoured in mouth with pleasing freshness. Clean and fruity aftertaste finishing with the characteristic crispness of Assyrtiko, which offers a strong earthy character to this wine. Ideal complement for seafood, fish and salads.",750 mL bottle,13%,Greece,Ktima Pavlidis,,,,Assyrtiko,,,
Farmhouse California White,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/farmhouse-california-white-15752,$16.90,/content/dam/lcbo/products/015752.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Farmhouse Wines are part of the Cline portfolio of wines from Sonoma, California. Made from a blend of noble white varieties including viognier, rousanne, marsanne and riesling. The character of each comes together to deliver wonderful lifted aromas and fig, herbs, honey and melon flavours. Superb with seafood or salads.",750 mL bottle,13.5%,"California, USA",Cline Cellars,7 g/L,D - Dry,Light & Crisp,White Blend,,,
Skouras Armyra 2019,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/skouras-armyra-2019-742162,$19.80,/content/dam/lcbo/products/742162.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Made from Chardonnay 95% and Malagouzia 5% and grown at 200 feet altitude. Seventy per cent fermented in stainless steel vats and 30% fermented and aged in new French barriques for 6 months. Short skin contact, full malolactic fermentation in barriques and batonnage. The colour is green-yellow with a few greenish hues. The nose opens with aromas of ripe peach, tropical fruit such as pineapple and hints of lemon. Aromas of butter, bread and caramel follow. The mouth is rich and smooth, with flavours similar to those on the nose and balanced by crisp acidity. The finish is long, complex, and with constant evolution.",750 mL bottle,13.5%,Greece,Domaine Skouras Sa,,,,Chardonnay Blend,,,
Ekkum 2019,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/ekkum-2019-739754,$28.80,/content/dam/lcbo/products/739754.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Clear, lemon colour in appearance, this wine has a pronounced intensity with aromas of flowers and fruit. On the palate dry, medium acidity, pronounced intensity, refreshing, with a long finish.",750 mL bottle,13.5%,"Campania, Italy",Casa Vinicola Cuomo Di Cuomo Giovan,,,,Falanghina,,,
LUPUS Trebbiano d'Abruzzo DOC 2018,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/white-wine-14002/lupus-trebbiano-dabruzzo-doc-2018-602788,$26.70,/content/dam/lcbo/products/602788.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Bright straw yellow wine with a bouquet of tropical fruit, yellow fruits and fine nuances of broom and wild flowers. A penetrating minerality gives the wine a slight pungency with a touch of salty pleasure, vivacity and elegance. Its clean freshness and acidity are mixed with good structure, persistence, and great roundness.",750 mL bottle,13.5%,"Abruzzo, Italy",Azienda Tilli,,,,Trebbiano,,,
Frey-Sohler Riesling Rittersberg Organic 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/frey-sohler-riesling-rittersberg-organic-2016-751486,$28.90,/content/dam/lcbo/products/751486.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"This Riesling has a beautiful robe with gold reflections. It is floral, delicate, well-balanced with a dry minerality and elegant bouquet. It is recognized as one of the finest white varietals.",750 mL bottle,12.5%,"Alsace, France",Frey-Sohler Sarl,,,,Riesling,,,
Frey-Sohler Rittersberg 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/-frey-sohler-rittersberg-2017-751544,$32.40,/content/dam/lcbo/products/751544.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"The Frey-Sohler estate has evolved through several generations, all intimately linked with the village and the wines of Alsace. Exceptional wine that comes from 35 year old vines located on dry, sandy soil. Rittersberg terroir is made of granitic and shallow soil that gives the minerality, the acidity and the complexity to some of the greatest wines of the region. This blend of Riesling, Pinot Gris and Gewurztraminer offers a bright yellow colour. Intense aromas of sous-bois, it's a perfectly balanced wine that can be paired with blue cheese or spicy dishes.",750 mL bottle,12.5%,"Alsace, France",Frey-Sohler Sarl,,,,Gewurztraminer/Riesling,,,
Di Berardino Trebbiano D'Abruzzo Fonteamonte DOC 2019,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/di-berardino-trebbiano-dabruzzo-fonteamonte-doc-2019-744838,$20.55,/content/dam/lcbo/products/744838.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale yellow colour with small green reflections, at nose it shows intense fruity notes of pear, peach and tropical fruits. It is balanced on the palate, fresh and persistent, with good structure. Perfect for poultry dishes, sushi and fish appetizers.",750 mL bottle,12.5%,"Abruzzo, Italy",Fausto Di Berardino,,,,Trebbiano,,,
Heraion 2019,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/heraion-2019-739762,$28.80,/content/dam/lcbo/products/739762.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Clear, lemon in colour with aromas of fruits and mineral. On the palate, dry-medium acidity, refreshing, with pronounced intensity and a long finish.",750 mL bottle,13.5%,"Campania, Italy",Casa Vinicola Cuomo Di Cuomo Giovan,,,,Fiano,,,
Frey-Sohler Gewurztraminer Late Harvest 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/frey-sohler-gewurztraminer-late-harvest-2017-751494,$56.35,/content/dam/lcbo/products/751494.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"The Frey-Sohler estate has evolved through several generations, all intimately linked with the village and the wines of Alsace. Intense golden-yellow hue. Aromas of exotic fruits and honey and a full and unctuous palate wrapped within a dazzling sweet-acidic balance!",750 mL bottle,13%,"Alsace, France",Frey-Sohler Sarl,,,,Gewurztraminer/Riesling,,,
Louis Chenu Bourgogne Blanc 2018,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/louis-chenu-bourgogne-blanc-2018-754456,$43.15,/content/dam/lcbo/products/754456.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Barrel fermented and from a 2 hectare plot that contains about 10% Pinot Blanc. Some depth on the nose. This is a wine that really expands on the palate, providing lots of savoury flavour as it heads for the finish. Very well balanced, and would be an excellent match with food.",750 mL bottle,12.5%,"Burgundy, France",Vignerons De Nature,,,,Chardonnay,,,
Frey-Sohler Selection Grains Nobles Organic 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/frey-sohler-selection-grains-nobles-organic-2015-751502,$83.85,/content/dam/lcbo/products/751502.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,,750 mL bottle,12%,"Alsace, France",Frey-Sohler Sarl,,,,Riesling,,,
Louis Chenu Aligote Organic 2018,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/louis-chenu-aligote-organic-2018-754464,$38.70,/content/dam/lcbo/products/754464.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Fresh, clean and minerally with beautifully pure ripeness of fruit. Aware of the importance of respecting the vineyard, the Chenu sisters are constantly striving to improve the quality of their wines and the vines are organically tended since 2006.",750 mL bottle,12.5%,"Burgundy, France",Vignerons De Nature,,,,Aligoté,,,
Josh Cellars Pinot Grigio,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/josh-cellars-pinot-grigio-15754,$18.95,/content/dam/lcbo/products/015754.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Josh Cellars is a renowned brand created to celebrate the founder's father. This delicious California Pinot Grigio is a new addition to their range of wines. It's fresh and bright, with flavours of quince, yellow berries backed up by hints of nuts and fresh bread. Sip on its own, or pair with grilled chicken or fish.",750 mL bottle,12.5%,"California, USA",Wj Deutsch & Sons Ltd,2 g/L,XD - Extra Dry,Light & Crisp,Pinot Grigio,,,
Domaine Jean Monnier Meursault Vieilles Vignes 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/domaine-jean-monnier-meursault-vieilles-vignes-2017-743087,$85.00,/content/dam/lcbo/products/743087.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"A family domaine since 1720. A smoky nose consists of petrol, apple and pear notes that are trimmed in subtle wood nuances. There is exceptionally good richness and impressive power to the mouth coating and medium-bodied flavours that deliver excellent length on the clean, dry and citrus finish.",750 mL bottle,13%,"Burgundy, France",Diva,,,,Chardonnay,,,
Celler Credo Volaina 2018,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/celler-credo-volaina-2018-598499,$23.30,/content/dam/lcbo/products/598499.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"La Volaina is the result of an initiative launched by Celler Credo together with Museo de Ciencias Naturales de Granollers with the aim of researching and sharing the importance of butterflies (Volainas). For this, the Parellada variety is grown in fully ecological vineyards in the town of Pla de Manlleu, one of the highest altitude areas of the Penedès region (500 metres above sea level). The harvest is carried out manually and transported in small boxes. La Volaina 2018 is an aromatic white wine with floral and white fruit notes and citrus highlights on the nose. On the palate it is fresh and light with persistent nuances of the fruit.",750 mL bottle,12%,Spain,Recaredo Mata Casanovas S.A.,,,,White - Light Dry,,,
Rolet Cotes du Jura Chardonnay 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/rolet-cotes-du-jura-chardonnay-2015-724715,$35.55,/content/dam/lcbo/products/724715.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Very dry and steely, this offers crisp acidity plus butter and wood flavours that bring out citrus as well as white peach fruits.",750 mL bottle,13%,"Jura, France",Domaine Rolet,,,,Chardonnay,,,
Deiss Riesling 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/deiss-riesling-2017-623800,$42.00,/content/dam/lcbo/products/623800.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Lemony, mineral and focused white with aromas of citrus, white florals, lemon marmalade, pineapple and white peach. Sweetness on the palate is balanced off by a tart, crisp acidity, finishing with a lingering honeyed sweetness. Clear and elegant.",750 mL bottle,13%,"Alsace, France",Domaine Marcel Deiss,,,,Riesling,,,
Deiss Huebuhl La Ou Pousse la Haie 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/deiss-huebuhl-la-ou-pousse-la-haie-2015-725332,$64.70,/content/dam/lcbo/products/725332.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"From a field blend of different Pinot varieties on heavy and humid clay soils this is a rich, sweet, super ripe and very well-structured wine with a lingering fruit expression, a deep and piquant acidity, and very good tannin structure. Showing off an aromatic bouquet of very ripe and overripe fruits (pears, peaches) along with earthy/mineral flavours, as well as a good portion of botrytis (which is a natural appearance in this terroir that would be declassified if there was no botrytis).",750 mL bottle,12.5%,"Alsace, France",Domaine Marcel Deiss,,,,White Blend,,,
Deiss Grand Cru Schoenenbourg 2014,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/deiss-grand-cru-schoenenbourg-2014-624006,$132.85,/content/dam/lcbo/products/624006.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"This field blend comes from the singular marls, gypsum, and sandstone of Schoenenbourg, providing a firm structure and ample minerality to support the honeyed, Noble Rot sweetness of the grapes. Powerful with citrus, honey, and light smoke, with an incredible length.",750 mL bottle,12.5%,"Alsace, France",Domaine Marcel Deiss,,,,White Blend,,,
Wieninger Chardonnay Select 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/wieninger-chardonnay-select-2017-703156,$48.85,/content/dam/lcbo/products/703156.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"95-97 points Falstaff 'This opens with attractive peach fruit highlighted by a touch of nougat. It's complex, focused, with crisp acidity, lots of minerality, and a long finish. Good aging potential.'",750 mL bottle,13%,Austria,Weingut Wieninger,,,,Chardonnay,,,
Eradus Pinot Gris 2019,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/eradus-pinot-gris-2019-751270,$21.10,/content/dam/lcbo/products/751270.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Made with 100% Pinot Gris from the Brêloft vineyard in the Awatere Valley, Marlborough. Low cropping vines with high leaf to fruit ratios enable the winery to create ripeness, concentration and complexity. This is rich yet refined, opulent yet beautifully defined. The bouquet is filled with ripe pear, mango, citrus and potpourri then the succulent and textured palate flows to a gratifying finish. This wine pairs very well with spicy paella or pan fried scallops.",750 mL bottle,13.5%,New Zealand,Eradus Wines,,,,Pinot Gris,,,
Wieninger Gemis Satz Bisamberg 2018,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/wieninger-gemis-satz-bisamberg-2018-703198,$37.65,/content/dam/lcbo/products/703198.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"93 points Wine Enthusiast 'Hay flowers, a flinty whiff of reduction and fresh apple on the nose promise freshness. The concentrated palate honors this promise with lovely tart but ripe apple as well as ripe lemon framing delightful notes of stone fruit. Stony, earthy notions echo in the background, while tart apple takes center stage. The finish is dry, fresh and very appetizing.'",750 mL bottle,13%,Austria,Weingut Wieninger,,,,White Blend,,,
School House Vineyard Chardonnay 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/school-house-vineyard-chardonnay-2015-839134,$84.15,/content/dam/lcbo/products/839134.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Aromas of lemon cream, hazelnuts, stone fruit and minerals. Lively fresh palate frame the creamy, nutty fruit, perfect balance with a long lingering finish.",750 mL bottle,13.4%,"California, USA",School House Vineyard Gantner Walke,,,,Chardonnay,,,
Fragospito White 2019,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/fragospito-white-2019-726991,$23.90,/content/dam/lcbo/products/726991.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Made with 50% Malvasia di Candia, 50% Moscato Spinas this bright-yellow colour wine has intense aromas of jasmine, lemon and melon. Dry, aromatic and medium acidity, it pairs well with fresh salads, spinach or cheese pies, shellfish, and white meats. Greek Wine Awards 2015 - Silver medal (2014 vintage)",750 mL bottle,12.5%,"Crete, Greece",Gavalas Ltd Domaine Gavalas,,,,Malvasia,,,
Principino Bianco 2018,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/principino-bianco-2018-689520,$22.65,/content/dam/lcbo/products/689520.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Straw yellow in colour with greenish highlights, elegant and delicate in its aromas of fresh fruit, lemon, oranges and grapefruit. The flavours are balanced with a savoury finish and aftertaste. Great with salads and seafoods.",750 mL bottle,12.5%,Italy,L'Arco Commerciale Di Fanciullacci,,,,Trebbiano,,,
Muros Antigos Escolha 2019,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/muros-antigos-escolha-2019-738616,$16.60,/content/dam/lcbo/products/738616.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Well balanced wine, full of citrus notes of grapefruit and lemon, delicate floral notes. At the same time light and intense, full of freshness and flavour.",750 mL bottle,12%,Portugal,Anselmo Mendes Vinhos Lda,,,,Alvarinho Blend,,,
Wieninger Chardonnay Classic 2018,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/wieninger-chardonnay-classic-2018-703123,$27.20,/content/dam/lcbo/products/703123.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"91 points Falstaff 'This opens with delicate notes of apple, peach, and a hint of honey blossom. It's medium bodied with fresh acidity, and a lively finish.'",750 mL bottle,12.5%,Austria,Weingut Wieninger,,,,Chardonnay,,,
Open Pinot Grigio VQA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/open-pinot-grigio-vqa-15888,$39.95,/content/dam/lcbo/products/015888.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Open Wines are known for making crowd-pleasing wines. This pinot grigio has aromas and flavours of berries, citrus, fresh fig, banana and light pear. Medium-bodied and fresh on the palate with balanced, clean acidity and a dry finish, this wine is perfect for seafood salad, roasted chicken or as a starter.",3000 mL bagnbox,12.5%,"Ontario, Canada","Arterra Wines Canada, Inc.",9 g/L,D - Dry,Light & Crisp,Pinot Grigio,,,
Vincent Latour Meursault Charmes 1er Cru 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/vincent-latour-meursault-charmes-1er-cru-2017-748409,$130.45,/content/dam/lcbo/products/748409.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,Allen Meadows in Burghound describes it as follows: 90-93 & Outstanding... Here too there is good volume and mid-palate density along with a finer mouth feel if not the same power and muscle coming up on the ever-so-mildly sweet finish. This needs to develop more depth to achieve the upper end of my projected range but the structure is such that it should. Drink 2027+,750 mL bottle,13.5%,"Burgundy, France",S.A.R.L. Maison Latour Labille,,,,Chardonnay,,,
Domaine Pinte Chardonnay 2018,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/domaine-pinte-chardonnay-2018-752179,$36.40,/content/dam/lcbo/products/752179.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Manual vintage, soft pressing, alcoholic fermentation in stainless steel tanks with native yeasts, malolactic fermentation. Soft textured and well-structured wine.",750 mL bottle,14.5%,"Jura, France",Societe Viticole Du Domaine De La P,,,,Chardonnay,,,
Domaine Pinte Savagnin 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/domaine-pinte-savagnin-2016-752187,$53.70,/content/dam/lcbo/products/752187.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Vinified in steel with only indigenous yeasts and aged in barriques for 3 years. It shines with a golden yellow glass and exudes aromas of ripe tropical fruit and sweet spices. Well structured, with a long finish. Average 50 year old vines, from blue marl soils. Organic, biodynamic farming. Vegan friendly.",750 mL bottle,13.5%,"Jura, France",Societe Viticole Du Domaine De La P,,,,Savagnin,,,
Domaine Pinte Arbois Vin Jaune 2009,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/domaine-pinte-arbois-vin-jaune-2009-752252,$115.80,/content/dam/lcbo/products/752252.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"A brilliant yellow colour. On the nose, the bouquet is powerful and complex, offering the typical notes of Vin Jaune: walnut, hazelnut, almond, anis, curry and spices. On the palate, the attack is generous and powerful. There is a good freshness and an exceptional length with a beautiful aromatic complexity.",620 mL bottle,15.5%,"Jura, France",Societe Viticole Du Domaine De La P,,,,Savagnin,,,
Vincent Latour Meursault Poruzots 1er Cru 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/vincent-latour-meursault-poruzots-1er-cru-2017-748391,$125.60,/content/dam/lcbo/products/748391.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,Allen Meadows in Burghound describes it as follows: 91-93 & Outstanding... there is excellent density and power to the broad-shouldered flavors that possess an abundance of sappy dry extract that also serves to buffer the moderately firm acid spine shaping the highly complex bitter lemon-inflected finish where a suggestion of the exotic appears. This is a classic Poruzots of muscle and robust power that should age well. Drink 2025+,750 mL bottle,13.5%,"Burgundy, France",S.A.R.L. Maison Latour Labille,,,,Chardonnay,,,
Aromo Barrel Selection Chardonnay 2019,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/aromo-barrel-selection-chardonnay-2019-16038,$29.05,/content/dam/lcbo/products/016038.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Expect a zesty, balanced, vibrant Chardonnay, with tropical fruit spanning the flavour spectrum alongside oak and a steely, refined minerality.",750 mL bottle,13.5%,"Maule Valley, Chile",Aromo Serviexport Ltda,5 g/L,XD - Extra Dry,Full-bodied & Rich,Chardonnay,"June 14, 2020",,
Bougrier Vouvray Chenin Blanc AOP 2019,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/bougrier-vouvray-chenin-blanc-aop-2019-772459,$16.20,/content/dam/lcbo/products/772459.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,Very rich aromas with expressive flavours of pear and honey. Refreshing and enjoyable to drink on any occasion. Enjoy with seafood and lighter fare.,750 mL bottle,12.5%,France,Bougrier S.A.,,,,Chenin Blanc,,,
Theopetra Estate White 2019,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/theopetra-estate-white-2019-761536,$26.15,/content/dam/lcbo/products/761536.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Organic wine made from Greek varieties Malagouzia and Assyrtiko. Bright lemon-green colour, fresh aromas of pineapple, mango, tangerine and peach, sweet aromas of biscuit and hints of fresh mint. Pairs well with fish and seafood, salads, white meat, fruits or simply on its own.",750 mL bottle,13%,Greece,Tsililis K.Sa,,,,White Blend,,,
Alento Reserva White 2018,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/alento-reserva-white-2018-760538,$19.40,/content/dam/lcbo/products/760538.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Produced entirely with the Portuguese grapes Arinto and Antao Vaz, this wine has a citrine colour and citrine flavours with good minerality, well integrated with some oaky flavours. In the palate show good volume with good minerality and a well integrated acidity, that gives a freshness unusual in a warm climate region. Long aftertaste.",750 mL can,12.5%,"Alentejo, Portugal",Miguel Louro Lda.,,,,Arinto Blend,,,
Domaine Ratte Naturé 2018,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/domaine-ratte-natur%C3%A9-2018-752559,$62.10,/content/dam/lcbo/products/752559.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Naturé is an old name for Savagnin. From plots planted on blue and gray marl soil. The grapes are harvested late and by hand. Long and delicate pressing, natural fermentation and bottling without filtration. Very aromatic palette, dominated by fresh cut flowers.",750 mL bottle,13%,"Jura, France",Ratte Michel-Henri,,,,Savagnin,,,
Giglio ALTAIR Bianco IGP Biologico 2019,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/giglio-altair-bianco-igp-biologico-2019-773978,$17.60,/content/dam/lcbo/products/773978.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,Straw yellow with greenish hues in colour. Intense on the palate with notes of citrus and exotic fruits. Pleasant with good flavour and hints of Sicily.,750 mL bottle,12%,"Sicily, Italy",Cantine Giglio Sas Di Giglio Tommas,,,,White Blend,,,
2018 BARACIJA MALVAZIJA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/2018-baracija-malvazija-770511,$34.85,/content/dam/lcbo/products/770511.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Dreamy golden yellow. Aromas of ripe yellow-green fruits, flowers and Mediterranean herbs appear on the nose. The aromas are enhanced on the palate: pears, apples, apricots, elderberries, sage and a slight hint of vanilla and honey emerge. Great minerality and freshness with a medium body.",750 mL bottle,14%,Croatia,Clai D.O.O,,,,Malvasia,,,
Zimmerlin Grauburgunder Dry 2018,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/zimmerlin-grauburgunder-dry-2018-621358,$22.35,/content/dam/lcbo/products/621358.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Intensive aroma of melon, yellow pear and hint of roasted nuts. Well balanced acidity. Perfect with white poultry and fish.",750 mL bottle,13%,"Pfalz, Germany",Weingut Rudolf Zimmerlin Gmbh,,,,Pinot Gris,,,
Calcu Reserva Especial Sauvignon Blanc/Semillon 2019,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/calcu-reserva-especial-sauvignon-blanc-semillon-2019-679687,$14.45,/content/dam/lcbo/products/679687.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"This white blend has a pale olive green colour. Many layers of citric and tropical aromas such as pink grapefruits and mangoes come together to accomplish an expressive and aromatic wine. On the palate the highlight is the freshness of the Sauvignon Blanc and the complexity of the Semillon. The Sauvignon Blanc delivers freshness and smooth tropical notes, while the Semillon conveys citric hints and structure. Rodrigo Romero, Calcu Winemaker.",750 mL bottle,12.5%,Chile,Vinedos Calcu Limitada,,,,Sauvignon Blanc/Sémillon,,,
Encostas do Peso Douro White 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/white-wine-14002/encostas-do-peso-douro-white-2017-328293,$14.65,/content/dam/lcbo/products/328293.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"87 pts Wine Enthusiast - Yellow golden colour. A complex aroma, fresh and with an intense aroma of Moscatel variety. Good structure in the mouth and excellent balance between acidity and sweetness. End of mouth long and persistent.",750 mL bottle,13%,"Douro, Portugal",Porto Reccua Vinhos Sa,,,,Malvasia Fina Blend,,,
Cabeca de Burro Reserva White 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/cabeca-de-burro-reserva-white-2017-328269,$20.65,/content/dam/lcbo/products/328269.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"White wine of delicate aroma. Enjoy as an aperitif or with seafood, grilled fresh fish, or white meats.",750 mL bottle,13.5%,"Douro, Portugal",Porto Reccua Vinhos Sa,,,,Malvasia Fina Blend,,,
ESTREIA Loureiro Grande Escolha 2019,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/estreia-loureiro-grande-escolha-2019-732411,$12.55,/content/dam/lcbo/products/732411.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Crafted from a rigorous selection of the most celebrated white grape variety of the region, this wine is characterized by a complex bouquet of white fruits, apricot and citrus with fresh herbal notes. Light, fruity and floral it is truly a great choice!",750 mL bottle,11.5%,Portugal,Viniverde - Promocao E Comercio De,,,,Loureiro,,,
ESTREIA White Vinho Verde DOC 2019,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/estreia-white-vinho-verde-doc-2019-732403,$11.55,/content/dam/lcbo/products/732403.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"A blend of different grape varieties of the Vinho Verde region. Vibrant citrus and tropical fruit aromas. Aromatic, smooth and harmonious with refreshing sparkling mouthfeel.",750 mL bottle,11%,"Vinho Verde, Portugal",Viniverde - Promocao E Comercio De,,,,Loureiro Blend,,,
