title,link,price,Img,Description,Bottle Size,Alcohol/Vol:,Made In:,By:,Sugar Content:,Sweetness Descriptor:,Style:,Varietal:,Release Date:,This is a VQA wine,This is a Kosher product.
Heron Hill Pinot Noir Reserve Finger Lakes 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/heron-hill-pinot-noir-reserve-finger-lakes-2017-124114,$38.15,/content/dam/lcbo/products/124114.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Much like Ontario's own Niagara Peninsula, the Finger Lakes region has a cool climate nicely suited to Pinot Noir. Heron Hill, which has been family-owned and -run since its founding in 1972, produces this sleek, elegant expression.",750 mL bottle,13%,"New York, USA","Heron Hill Vineyards, Inc.",,,,Pinot Noir,,,
Breca Old Vine Garnacha,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/breca-old-vine-garnacha-122779,$19.95,/content/dam/lcbo/products/122779.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"92 Points Guia Penin. An authentic wine produced from the original Garnacha, which was first cultivated in Aragón in the 7th Century, and spread around Europe by the Medieval Kingdom of Aragón. Calatayud produces a unique expression of Garnacha due to its geographic and climactic conditions. As Spain's highest altitude region for the production of Garnacha, the temperature swings are radical.",750 mL bottle,16%,Spain,Christopher Stewart Wine & Spi,,,,Grenache,,,
Cantarutti Pinot Nero 2018,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/cantarutti-pinot-nero-2018-145945,$28.10,/content/dam/lcbo/products/145945.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"This wine has a bright violet ruby red colour, fruity aromas and a balanced note of wood.",750 mL bottle,12%,"Friuli, Italy",Azienda Cantarutti Alfieri Sas,,,,Pinot Noir,,,
Emilia Sweet Wine 2009,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/emilia-sweet-wine-2009-988500,$48.35,/content/dam/lcbo/products/988500.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"100% Liatiko (indigenous red grape from Crete). One of the best sweet wines in Crete. Aromas of raisins, vanilla, caramel and chocolate. Aged for 5 years in oak barrels. Thessaloniki International Awards 2012 - Gold Medal (2007 vintage) & special award from the Hellenic Foreign Trade Board (HEPO)",500 mL bottle,13%,"Crete, Greece",Silva Daskalaki Winery - Daska,,,,Red - Sweet,,,
Sunny with a Chance of Flowers Pinot Noir,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/sunny-with-a-chance-of-flowers-pinot-noir-18946,$17.95,/content/dam/lcbo/products/018946.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"It's like sunshine in a glass. This pinot noir gleams with aromas and flavours of sweet black cherries, pomegranate and a hint of toasted oak. A clean finish caps the light-bodied and fruity palate. Pair with rotisserie chicken, tomato basil pasta, or BBQ turkey burgers.",750 mL bottle,9%,"California, USA",Scheid Vineyards California Inc,2 g/L,XD - Extra Dry,Light-bodied & Fruity,Pinot Noir,,,
Gato Negro Red Blend Light,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/gato-negro-red-blend-light-18949,$9.95,/content/dam/lcbo/products/018949.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,,750 mL bottle,5.5%,Chile,Vina San Pedro,15 g/L,D - Dry,Light-bodied & Fruity,Red Blend,,,
Smoky Bay Cabernet Sauvignon,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/smoky-bay-cabernet-sauvignon-19254,$18.95,/content/dam/lcbo/products/019254.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"This flavourful Australia cabernet sauvignon is deep ruby, exhibiting upfront aromas and flavours of red plum, dried herb, rye bread, oak and baking spices. It's medium-bodied and fruity, with soft silky tannins. An ideal match for veal tenderloin, grilled steak or a charcuterie board.",1500 mL bottle,13%,Australia,Maison Des Futailles,7 g/L,D - Dry,Full-bodied & Smooth,Cabernet Sauvignon,,,
Chacabuco Malbec,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/chacabuco-malbec-18931,$19.95,/content/dam/lcbo/products/018931.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,,1500 mL bottle,13.5%,Argentina,Los Haroldos S.A.,4 g/L,XD - Extra Dry,Medium-bodied & Fruity,Malbec,,,
Folonari Valpolicella Classico DOC,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/folonari-valpolicella-classico-doc-26278,$21.95$24.95Save $3.00,/content/dam/lcbo/products/026278.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Valpolicella is the classic red wine of Italy's Veneto region; a blend of local grape varieties that combine to give forward fruit and a supple approachable structure. Ruby red in colour, with upfront spice and plum aromas. On the palate, expect a medium body, soft berry and plum flavours and a fresh, food-friendly finish.",1500 mL bottle,12.5%,"Veneto, Italy",Folonari S.P.A.,4 g/L,XD - Extra Dry,Light-bodied & Fruity,Valpolicella,,,
Negrar Amarone Classico DOCG,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/negrar-amarone-classico-docg-44784,$27.50$30.00Save $2.50,/content/dam/lcbo/products/044784.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"With 85 years of winemaking, this winery continues to grace dinner tables with many styles. Made by drying the grapes gives it depth and density. Aromas and flavours of coffee, toast, nuts, spice and dried figs lead to a concentrated medium-bodied palate and smooth finish. Try with rich cheeses.",750 mL bottle,15.5%,"Veneto, Italy",Cantina Sociale Valpolicella,10 g/L,D - Dry,Full-bodied & Smooth,Amarone,,,
Stoneleigh Marlborough Pinot Noir,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/stoneleigh-marlborough-pinot-noir-54353,$17.95$19.95Save $2.00,/content/dam/lcbo/products/054353.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pale ruby colour; bright aromas of violets, cherries and vanilla with beetroot and citrus notes; extra dry, medium-plus bodied, soft tannins, flavours of cherry, vanilla, and oak spice with balanced acidity.",750 mL bottle,13.5%,New Zealand,Pernod Ricard Pacific Pty Ltd,4 g/L,XD - Extra Dry,Medium-bodied & Fruity,Pinot Noir,,,
Château des Charmes Gamay Noir VQA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/ch%C3%A2teau-des-charmes-gamay-noir-vqa-57349,$14.95$15.95Save $1.00,/content/dam/lcbo/products/057349.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Ruby red colour; fresh plum and red fruit aroma with a note of toast; plum, red berry, toast, cedar and cherry in flavour, medium body, clean dry finish.",750 mL bottle,13%,"Ontario, Canada",Chateau Des Charmes,2 g/L,XD - Extra Dry,Light-bodied & Fruity,Gamay,,,
Jacob's Creek Shiraz Cabernet Sauvignon,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/jacobs-creek-shiraz-cabernet-sauvignon-106377,$11.75$13.75Save $2.00,/content/dam/lcbo/products/106377.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"A legend in South Eastern Australia, Jacob's Creek offers a modern expression of the classic Aussie shiraz-cabernet blend. Upfront aromas of licorice, fig, honey and herbs. Extra dry palate, with spice and fig flavours leading to a honey and toasty oak finish. Serve with ribeye steak, or lamb burgers with grilled mushrooms.",750 mL bottle,14%,Australia,Jacobs Creek Wines,8 g/L,D - Dry,Full-bodied & Smooth,Shiraz/Cabernet Sauvignon,,,
Mezzomondo Negroamaro Puglia IGT,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/mezzomondo-negroamaro-puglia-igt-111930,$15.95$17.95Save $2.00,/content/dam/lcbo/products/111930.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Experience wine from the center of the world! Dark, rich and sensuous, this Negromaro combines enticing notes of dried herbs, spice, dark fruit flavours with toast notes. Make it the 'center' of any gathering of friends or family.",1500 mL bottle,13%,"Puglia, Italy",Mgm Mondo Del Vino S.R.L.,8 g/L,D - Dry,Medium-bodied & Fruity,Negroamaro,,,
Enzo Vincenzo Valpolicella Ripasso DOC,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/enzo-vincenzo-valpolicella-ripasso-doc-194118,$14.40$16.40Save $2.00,/content/dam/lcbo/products/194118.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Deep ruby red colour in the glass. The nose bursts with aromas of cassis, spice and red fruit with a coffee note. On the palate this is dry, light to medium body, quite elegant and smooth with fine tannins and deep flavours of tangy cassis, spice and red plum with a hint of coffee bean on the long finish.",750 mL bottle,13.5%,"Veneto, Italy",Cantine Luigi Sgarzi,7 g/L,D - Dry,Full-bodied & Smooth,Ripasso,,,
Apothic Red,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/apothic-red-234369,$14.95$16.95Save $2.00,/content/dam/lcbo/products/234369.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Ruby colour; upfront aromas include dark berry and fruit - plum, blackberry, fig, with spice notes - cinnamon and vanilla; medium body; layers of ripe fruit and rich flavours with a long finish",750 mL bottle,13.5%,"California, USA",E. & J. Gallo Winery,16 g/L,D - Dry,Full-bodied & Smooth,Blend,,,
"Castillo De Almansa Reserva, Almansa DO",https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/castillo-de-almansa-reserva-almansa-do-270363,$12.45$13.95Save $1.50,/content/dam/lcbo/products/270363.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Deep ruby colour; aromas of smoky oak and prune reduction with notes of juniper, chocolate and nuts; dry, medium-bodied, with soft balanced acidity, fine tannins and a soft plummy fruit finish.",750 mL bottle,14%,"Almansa, Spain",Bodegas Piqueras,2 g/L,XD - Extra Dry,Medium-bodied & Fruity,Red Blend,,,
Trius Red,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/trius-red-303800,$22.95$24.95Save $2.00,/content/dam/lcbo/products/303800.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"From a pioneer of premium Ontario red wines, this Bordeaux-inspired blend has been crafted to perfection every year since 1989. Blackcurrant, grilled herbs, tobacco and cedar. Savour with blackened Ontario lamb, slow-cooked pork shoulder or roast beef.",750 mL bottle,12.5%,"Ontario, Canada",Andrew Peller Limited,4 g/L,XD - Extra Dry,Medium-bodied & Fruity,Cabernet Sauvignon Blend,"April 1, 2021",,
Concha y Toro Marques de Casa Concha Cabernet Sauvignon,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/concha-y-toro-marques-de-casa-concha-cabernet-sauvignon-337238,$19.95$22.95Save $3.00,/content/dam/lcbo/products/337238.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Voted 'the most admired wine brand in the world,' Chile pioneer Concha y Toro marked its 130th anniversary in 2013. This robust Cab exhibits cassis, blackberry, chocolate and cedar notes. Savour with roast leg of lamb with garlic potatoes, or a meaty lasagna.",750 mL bottle,13.5%,"Maipo Valley, Chile",Concha Toro S.A.,4 g/L,XD - Extra Dry,Full-bodied & Firm,Cabernet Sauvignon,"April 1, 2021",,
Bonterra Cabernet Sauvignon Organic,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/bonterra-cabernet-sauvignon-organic-342428,$19.95$21.95Save $2.00,/content/dam/lcbo/products/342428.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Bonterra has been crafting organic wines for 20+ years. This focused Cab shows blackberry, cassis, mocha, dried herbs and toasty oak flavours. Pair with grilled portobello mushroom burgers or organic rare steaks with roasted potatoes.",750 mL bottle,12.09%,"California, USA",Fetzer Vineyards,6 g/L,D - Dry,Full-bodied & Firm,Cabernet Sauvignon,"April 1, 2021",,
Bersano Costalunga Barbera D'Asti DOCG,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/bersano-costalunga-barbera-dasti-docg-348680,$12.25$14.25Save $2.00,/content/dam/lcbo/products/348680.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Bright garnet hue; spice, smoke and plum notes are evident on the nose; light earthy, smoky, plummy fruit flavours with light leather notes and good acidity.",750 mL bottle,14%,"Piedmont, Italy",Bersano Vini S.P.A.,2 g/L,XD - Extra Dry,Medium-bodied & Fruity,Barbera,,,
Wines of Substance Cabernet Sauvignon,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/wines-of-substance-cabernet-sauvignon-419770,$20.95$23.95Save $3.00,/content/dam/lcbo/products/419770.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"This Cab is from Charles Smith, the dynamic, self-taught guru of Washington wines. He turned from a life as a rock band manager to rock the world of wine. The Wines of Substance Cabernet Sauvignon is loaded with blueberries, cassis, scorched earth and spice in a rich, full-bodied, balanced package. Pair with braised beef short ribs.",750 mL bottle,14.5%,"Washington, USA",Charles Smith,5 g/L,XD - Extra Dry,Full-bodied & Firm,Cabernet Sauvignon,"April 1, 2021",,
Black Cellar Shiraz Cabernet,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/black-cellar-shiraz-cabernet-429811,$17.95$19.95Save $2.00,/content/dam/lcbo/products/429811.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"The Black Cellars winemaker explored numerous blends deep within the heart of the cellar until perfection was achieved. The ultimate blend combines upfront flavours of black currant, floral and jammy notes with a touch of mint chocolate and a smooth mouthfeel that exemplifies the mystique of Black Cellar.",1500 mL bottle,13%,Canada,Andrew Peller Limited,16 g/L,D - Dry,Full-bodied & Smooth,Shiraz/Cabernet,,,
Pelee Island Cabernet Franc VQA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/pelee-island-cabernet-franc-vqa-433714,$12.45$13.45Save $1.00,/content/dam/lcbo/products/433714.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Medium ruby/violet colour; aromas of black plum, chocolate, cassis, cedar and vanilla; extra dry, medium bodied with plum, chocolate and cedar flavours and a fresh finish.",750 mL bottle,12.7%,"Ontario, Canada",Pelee Island Vineyard Inc.,8 g/L,D - Dry,Medium-bodied & Fruity,Cabernet Franc,,,
Villa Annaberta Amarone Della Valpolicella DOCG,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/villa-annaberta-amarone-della-valpolicella-docg-433961,$35.95$38.95Save $3.00,/content/dam/lcbo/products/433961.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"The Cottini family strictly adheres to the requirements of Amarone production to create this elegant and harmonious example. Deep ruby in colour with aromas of dark fruit, licorice, fig and chocolate featuring on the nose; the palate is rich and silky with pronounced black fruit and spice character and a long warm finish.",750 mL bottle,15%,"Veneto, Italy",Cottini Spa,10 g/L,D - Dry,Full-bodied & Smooth,Amarone,,,
Catena Malbec,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/catena-malbec-478727,$17.95$19.95Save $2.00,/content/dam/lcbo/products/478727.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Nicolás Catena helped revolutionize Argentina's wine industry after visiting California in the 1980s. This, his benchmark Malbec, has rich blackberry, blueberry, dark chocolate, exotic spices and mint. For grilled sausages, aged steaks or rare roast beef.",750 mL bottle,13.5%,"Mendoza, Argentina",Catena Zapata,5 g/L,XD - Extra Dry,Full-bodied & Smooth,Malbec,"April 1, 2021",,
Wolf Blass Yellow Label Shiraz,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/wolf-blass-yellow-label-shiraz-506691,$14.45$16.95Save $2.50,/content/dam/lcbo/products/506691.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Inky purple; lifted notes of red fruit, rye bread, mulberry and fresh mushrooms; the medium-bodied palate explodes with red fruit and berry, and leads to a pleasing rich finish.",750 mL bottle,13.5%,Australia,Mildara Blass Limited,4 g/L,XD - Extra Dry,Full-bodied & Smooth,Shiraz/Syrah,,,
Francis Coppola Diamond Collection Ivory Label Cabernet Sauvignon,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/francis-coppola-diamond-collection-ivory-label-cabernet-sauvignon-521021,$22.95$24.95Save $2.00,/content/dam/lcbo/products/521021.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Classically styled Cali Cab featuring cassis, cherry, spice and woodsmoke. It's dry and fruity, with supporting tannins and refreshing acidity. A crowd-pleasing wine. Try it with grilled stuffed peppers or alongside gourmet burgers with caramelized onions.",750 mL bottle,14%,"California, USA",Francis Ford Coppola Pres Rosso & B,8 g/L,D - Dry,Full-bodied & Smooth,Cabernet Sauvignon,"April 1, 2021",,
Jackson-Triggs Reserve Cabernet Franc Cabernet Sauvignon VQA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/jackson-triggs-reserve-cabernet-franc-cabernet-sauvignon-vqa-560680,$12.95$13.95Save $1.00,/content/dam/lcbo/products/560680.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Medium ruby colour; aromas of red fruit, toast, floral note, marmalade and berries; on the palate it is extra dry and medium-plus bodied with flavours of bright red fruit, toast and berries with medium tannins and medium finish.",750 mL bottle,12.8%,"Ontario, Canada","Arterra Wines Canada, Inc.",4 g/L,XD - Extra Dry,Medium-bodied & Fruity,Cabernet Sauvignon/Cabernet Franc,,,
Felix & Lucie Cabernet-Syrah,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/felix-lucie-cabernet-syrah-635920,$12.95$14.95Save $2.00,/content/dam/lcbo/products/635920.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"France's Languedoc region possesses a warm, dry climate that's ideal for growing ripe, rich versions of cabernet sauvignon and syrah. This cab/syrah blend delivers upfront aromas and flavours of black olive, smoke, prune and toast. Given its light to medium body and ripe flavours, pair with beef brisket or stews.",750 mL bottle,13.5%,"South of France, France",Felix  & Lucie Wines,10 g/L,D - Dry,Medium-bodied & Fruity,Cabernet Sauvignon/Syrah,,,
Peller Family Vineyards Shiraz,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/peller-family-vineyards-shiraz-669457,$40.95$43.95Save $3.00,/content/dam/lcbo/products/669457.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Soft and generous with upfront black plum and licorice flavours supported by a hint of coffee beans on the finish. Shiraz is a great choice for entertaining; serve with barbecued ribs, smoked brisket, burgers with cheese and mushrooms or a charcuterie platter.",4000 mL bagnbox,13.1%,Canada,Andrew Peller Limited,8 g/L,D - Dry,Medium-bodied & Fruity,Shiraz/Syrah,,,
Liberty School Cabernet Sauvignon,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/liberty-school-cabernet-sauvignon-738823,$20.95$22.95Save $2.00,/content/dam/lcbo/products/738823.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"The Hope family, owners of Liberty School, helped transform the 'wild west' of Paso Robles into a wine lover's destination thanks to wines like this rich Cab with its black fruit flavours. A real crowd-pleaser with barbecued fare or a meat-lovers' pizza.",750 mL bottle,13.5%,"California, USA",Hope Family Wines,10 g/L,D - Dry,Full-bodied & Smooth,Cabernet Sauvignon,"April 1, 2021",,
Wakefield Estate Shiraz Clare Valley,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/wakefield-estate-shiraz-clare-valley-943787,$17.95$19.95Save $2.00,/content/dam/lcbo/products/943787.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Wakefield is the name used in North America by Australia's eminent Taylor family. Their Clare Valley Shiraz will offer great depth and richness with ripe blackberry, blueberry, black pepper and chocolate. Pair with lamb.",750 mL bottle,14.5%,"South Australia, Australia",Wakefield Wines Pty Ltd.,4 g/L,XD - Extra Dry,Full-bodied & Smooth,Shiraz/Syrah,"April 1, 2021",,
Stags' Leap Winery Cabernet Sauvignon,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/stags-leap-winery-cabernet-sauvignon-996405,$54.95$59.95Save $5.00,/content/dam/lcbo/products/996405.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Stags' Leap Winery is more than a deer crossing. Layered and complex, this wine features aromas and flavours of cassis, black cherry, cinnamon and woodsmoke. Cellar this powerhouse for up to 5 years, or enjoy tonight with rare steaks, roast beef or lamb.",750 mL bottle,13.9%,"California, USA",Treasury Wine Estates,5 g/L,XD - Extra Dry,Full-bodied & Firm,Cabernet Sauvignon,"April 1, 2021",,
Peller Family Vineyards Merlot,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/peller-family-vineyards-merlot-667105,$8.95$9.95Save $1.00,/content/dam/lcbo/products/667105.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"A smooth, fruity merlot sourced from fine vineyards in Canada and around the world. It's medium ruby in colour. Shows aromas of cassis, floral tone, cadar, licorice and smoke. The palate is medium bodied and dry with ripe cassis character and notes of violets, cedar, spice and smoke. Well suited for any occasion.",750 mL bottle,12%,"Ontario, Canada",Andrew Peller Limited,13 g/L,D - Dry,Medium-bodied & Fruity,Merlot,,,
Bodacious Cabernet Sauvignon,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/bodacious-cabernet-sauvignon-12676,$40.95$43.95Save $3.00,/content/dam/lcbo/products/012676.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Bodacious wines are gaining a following for their bold, yet smooth character. Bright ruby red in the glass with aromas of sweet red berry fruit and vanilla. Lively flavours of strawberry, cranberry, and vanilla on the palate. Medium-bodied and fruity with a soft, silky finish, this is great for peppercorn steak.",4000 mL bagnbox,12.5%,"Ontario, Canada","Arterra Wines Canada, Inc.",19 g/L,M - Medium,Full-bodied & Smooth,,,,
Pelee Island Bourbon Barrel Reserve Baco Noir VQA,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/pelee-island-bourbon-barrel-reserve-baco-noir-vqa-14887,$13.95$15.95Save $2.00,/content/dam/lcbo/products/014887.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"A special selection of baco that's matured in both ex-bourbon and premium wine casks. Shows lifted aromas and flavours of red cherry, tart berry, red plum and smoke with juniper and spice. On the palate, it's medium-bodied with juicy acidity leading to red fruit, earth and smoky tones on the finish. Great with bbq or pasta.",750 mL bottle,13%,"Ontario, Canada",Pelee Island Vineyard Inc.,8 g/L,D - Dry,Full-bodied & Smooth,Baco Noir,,,
Le Reservoir Pinot Noir,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/le-reservoir-pinot-noir-14714,$10.95$12.95Save $2.00,/content/dam/lcbo/products/014714.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,,750 mL bottle,12.5%,"Languedoc, France",Maison Des Futailles (France),6 g/L,D - Dry,Light-bodied & Fruity,Pinot Noir,,,
Pelee Island Merlot,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/pelee-island-merlot-18391,$31.95$34.95Save $3.00,/content/dam/lcbo/products/018391.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Pelee Island Winery is located in Canada's warmest and most southerly grape growing region. This wine is dry, medium-bodied with medium acidity and noticeable tannins. Toasted oak, nuts, and ripe berry flavours with a hint of herbs and cedar on a smooth finish. Serve with barbecued chicken, burgers or grilled vegetables.",3000 mL bagnbox,12.5%,"Ontario, Canada",Pelee Island Vineyard Inc.,7 g/L,D - Dry,Medium-bodied & Fruity,Merlot,,,
Woodbridge By Robert Mondavi Cabernet Sauvignon,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/woodbridge-by-robert-mondavi-cabernet-sauvignon-17437,$8.95$9.95Save $1.00,/content/dam/lcbo/products/017437.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Attention to detail creates the quality and consistency that Woodbridge wines are known for. This cabernet sauvignon bursts with aromas and flavours of ripe plum, wild berry, oak and coffee. It's medium-bodied and dry with silky tannins and a long finish. Pair with braised short ribs or grilled Portobello mushrooms.",500 mL tetra,13.5%,"California, USA",Robert Mondavi Winery,8 g/L,D - Dry,Full-bodied & Smooth,Cabernet Sauvignon,,,
Lion And The Lily Red Blend,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/lion-and-the-lily-red-blend-18329,$15.85$17.85Save $2.00,/content/dam/lcbo/products/018329.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"An inviting red Bordeaux made up of cabernet sauvignon and merlot. Expect aromas and flavours of plum, blackberry, fresh herbs and oak. It's medium-bodied and fruity with silky tannins capped with a long finish. Pair with flank steak alongside roasted turnips topped with shaved Parmesan or a charcuterie board.",750 mL bottle,13.5%,"Bordeaux, France",Sas Vignerons De Tutiac,3 g/L,XD - Extra Dry,Medium-bodied & Fruity,Cabernet Sauvignon Blend,,,
Clarence Dillon Clarendelle Red 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/clarence-dillon-clarendelle-red-2015-28837,$24.95,/content/dam/lcbo/products/028837.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Fresh nose with berries and chocolate with hints of hazelnuts. Sandalwood. Medium-bodied, linear and focused with fine tannins and a delicious finish. Drink and enjoy.  Score - 91. (James Suckling, jamessuckling.com, Feb. 2, 2018)",750 mL bottle,12.5%,"Bordeaux, France",Clarence Dillon S.A.,5 g/L,D - Dry,Medium-bodied & Fruity,Bordeaux Red,"September 5, 2020",,
Santa Carolina Reserva de Familia Carmenère 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/santa-carolina-reserva-de-familia-carmen%C3%A8re-2016-34942,$21.95,/content/dam/lcbo/products/034942.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"Very fresh and juicy, this has a neat array of ripe darker plums and berries with a floral edge, too. The palate has sleek, fine-boned tannins and really delivers fresh and silky at the finish. Drink or hold. Score - 92. (James Suckling, jamessuckling.com, April 5, 2019)",750 mL bottle,15%,"Rapel Valley, Chile",Vina Santa Carolina,3 g/L,XD - Extra Dry,Full-bodied & Smooth,Carmenère,"August 8, 2020",,
Sea Smoke Ten Pinot Noir,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/sea-smoke-ten-pinot-noir-59014,$145.00,/content/dam/lcbo/products/059014.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,,750 mL bottle,14.5%,USA,Sea Smoke,2 g/L,,Medium-bodied & Fruity,Pinot Noir,,,
Remo Farina Montefante Riserva Amarone della Valpolicella Classico 2013,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/red-wine-14001/remo-farina-montefante-riserva-amarone-della-valpolicella-classico-2013-63636,$83.00,/content/dam/lcbo/products/063636.jpg/jcr:content/renditions/cq5dam.web.319.319.jpeg,"This is always a powerhouse Amarone, but one that keeps a firm grip on balance and is never overwhelming. Look for a mix of ripe and dried black fruit notes, with underlying tones of forest, leather, vanilla, herbs and spice. This is a wine built to age; consider following its evolution for another 5-10 years. Serve with hearty beef stews, braised beef or fine cheeses.",750 mL bottle,14.5%,"Veneto, Italy",Azienda Vinicola Farina S.R.L.,6 g/L,D - Dry,Full-bodied & Smooth,Corvina Blend,"December 3, 2020",,
